omega,gamma,gamma_base,gamma_extended,delta_boundary_abs,delta_boundary_rel,delta_boundary_log,delta_tolerance_abs,delta_tolerance_rel,delta_tolerance_log,delta_max_step_abs,delta_max_step_rel,delta_max_step_log,accepted,final_a_in_abs2,final_a_out_abs2,final_wronskian_residual,final_flux_balance_residual,final_rstar_min,final_rstar_max,final_left_potential_ratio,final_right_potential_ratio,final_nfev,final_max_step,final_success,dirac_partner_gamma,dirac_partner_delta_abs,dirac_partner_delta_rel,dirac_partner_delta_log,dirac_partner_accepted,species,label,spin,multipole
0.048389666535796245,0.011208741952822688,0.011208741635246851,0.011208741964732512,3.294856609770136e-10,2.9395418537049958e-08,2.939541899987592e-08,1.1603197569431956e-11,1.0351917831875799e-09,1.0351918216884477e-09,3.0662625216670847e-13,2.7355991730141582e-11,2.7356006349440496e-11,True,89.21607832609358,88.21607832609688,3.296918293926865e-12,3.692705863311829e-14,-28.0,2314.543744936701,1.0863124732322573e-10,3.477573262346537e-08,7574,4.057675014232895,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.05665364961185362,0.015893162590586967,0.01589316204996567,0.01589316254719656,4.972308918771429e-10,3.1285836852360494e-08,3.1285837430934415e-08,4.304299625057517e-11,2.708271308824854e-09,2.7082713812650922e-09,3.474096010869232e-13,2.185906040454675e-11,2.1858959087000876e-11,True,62.920139040940114,61.92013904094425,4.135358722123783e-12,6.576336697428076e-14,-28.0,1976.9247130120684,7.925090683202013e-11,4.077196842397436e-08,7586,3.4657880329792548,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.06632895500464654,0.02267815351629326,0.022678152611385838,0.02267815352932076,9.179349225174604e-10,4.0476616487226986e-08,4.047661723810525e-08,1.2857260395238157e-11,5.669447640876396e-10,5.669447135589562e-10,1.7023882303845994e-13,7.506732103041405e-12,7.506772981031172e-12,True,44.09530076077595,43.09530076078079,4.838796030526282e-12,1.0974207653724477e-13,-28.0,1688.5536639640115,5.781675520128826e-11,4.7811644015297426e-08,7550,2.960238719811087,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.07765660821766218,0.0325948858636325,0.032594884349249974,0.0325948858672966,1.5180466259034908e-09,4.6573153600063374e-08,4.65731546918566e-08,3.4862390752010697e-12,1.069566277908282e-10,1.069566657520582e-10,1.7785772854495008e-13,5.456614552634268e-12,5.4566351437450695e-12,True,30.67965950805008,29.67965950805628,6.199485369506874e-12,2.0210222384520193e-13,-28.0,1442.2468682391766,4.217967106787849e-11,5.607949339774491e-08,7514,2.5284331283052923,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.09091879706907821,0.0472257899849921,0.047225787408707996,0.04722579002529188,2.616583887060653e-09,5.540582567051135e-08,5.540582705685627e-08,3.981139723441274e-11,8.430011916595661e-10,8.430012247374039e-10,4.883871085326064e-13,1.0341533909497567e-11,1.0341505429831881e-11,True,21.174870771199178,20.17487077120509,5.9117155615240335e-12,2.791586406480917e-13,-28.0,1231.8684761623574,3.077178311374318e-11,6.579398599792738e-08,7514,2.1596143721543055,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.10644590138831427,0.06900098312067612,0.06900097876497091,0.06900098317903894,4.414068027758233e-09,6.397108893417432e-08,6.397109082122618e-08,5.796875479635588e-11,8.401149110437176e-10,8.401148669155543e-10,3.940597848028915e-13,5.710930003906156e-12,5.71087621638565e-12,True,14.492547131554568,13.492547131562363,7.794653811288299e-12,5.378752998552727e-13,-28.0,1052.1776652670203,2.2449265535414623e-11,7.72138145415636e-08,7466,1.844594655956547,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.12462472324355404,0.10160283294745708,0.10160282550625724,0.10160283305596692,7.54970967686841e-09,7.430609420873796e-08,7.430609695700443e-08,1.0737578881592214e-10,1.0568188474769251e-09,1.0568188552084655e-09,1.134051186291174e-12,1.1161609901936865e-11,1.1161627178131302e-11,True,9.842245250357736,8.84224525036613,8.393286066166183e-12,8.527484274267749e-13,-28.0,898.6980840159496,1.63776509543405e-11,9.064573065436177e-08,7442,1.5755263942744029,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.14590812272681344,0.15038100252265119,0.1503809895916605,0.1503810026579068,1.3066246307147367e-08,8.688761271676759e-08,8.688761643507884e-08,1.343223587912945e-10,8.932136143397644e-10,8.93213614582623e-10,9.332534744999066e-13,6.205926671883538e-12,6.205924663068957e-12,True,6.649776123479259,5.649776123488118,8.858691558089049e-12,1.3321566072477253e-12,-28.0,767.6063395709623,1.1948161527114134e-11,1.0645403687897937e-07,7466,1.3457067172126602,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.17082629933755134,0.22233826870421128,0.22233824607065802,0.2223382689776252,2.2906967184210814e-08,1.0302755039747656e-07,1.0302755561972155e-07,2.7052957096707075e-10,1.2167476725609077e-09,1.2167477033328507e-09,2.8843594179761567e-12,1.2972842843412517e-11,1.297284502052664e-11,True,4.497651285260094,3.4976512852650026,4.908518036472742e-12,1.0913769887821445e-12,-28.0,655.6367516847563,8.716669092289798e-12,1.250721220009887e-07,7478,1.1494104924756172,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.2,0.3244915790304393,0.3244915399531138,0.3244915793839719,3.943085807867064e-08,1.2151581312676155e-07,1.215158204614285e-07,3.4892688738352717e-10,1.0753033666577698e-09,1.075303402454365e-09,4.605704706506231e-12,1.4193603175366801e-11,1.4193646258421044e-11,True,3.081744071719636,2.0817440717213143,1.6782131240233866e-12,5.446199047298705e-13,-28.0,560.0,6.359164118434206e-12,1.4701652628275392e-07,7454,0.9817477042468103,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.22,0.4021462341485849,0.40214618148001474,0.4021462345648918,5.308487704969167e-08,1.3200391435240417e-07,1.3200392285079992e-07,4.134643183384412e-10,1.0281442003648715e-09,1.028144236943159e-09,2.8425595210990195e-12,7.0684723111164364e-12,7.068456930905966e-12,True,2.4866576262169353,1.4866576262174924,5.571099137569036e-13,2.2409851752058785e-13,-28.0,509.09090909090907,5.255507535896039e-12,1.621497669384334e-07,7466,0.8924979129516458,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.2692857142857143,0.5958049542814423,0.5958048674643053,0.59580495494357,8.747926472096879e-08,1.4682533955507515e-07,1.4682535020158706e-07,6.578926292633014e-10,1.1042080542226082e-09,1.10420805893198e-09,4.235056749735122e-12,7.1081261062065535e-12,7.108091892885364e-12,True,1.6784016192111533,0.6784016192121751,1.021849271864994e-12,6.088463067044358e-13,-28.0,415.91511936339515,3.5077884660079355e-12,1.997439273627879e-07,7514,0.7291494885652703,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.31857142857142856,0.7558037379159364,0.7558036294951158,0.7558037388376306,1.0934251482019874e-07,1.4467051343474603e-07,1.4467052375417953e-07,9.132884448703749e-10,1.2083671977975249e-09,1.2083671848213058e-09,8.405831586344448e-12,1.1121712112092491e-11,1.1121659149244352e-11,True,1.323094806010637,0.32309480601300383,2.3669954885008337e-12,1.7890133818809772e-12,-28.0,351.5695067264574,2.506376897209083e-12,2.3775485111027876e-07,7538,0.6163438501997913,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.3678571428571429,0.863497256456131,0.8634971454145213,0.863497257553979,1.1213945771970657e-07,1.2986660569129866e-07,1.2986661391215176e-07,1.0873153488688558e-09,1.2591995408662839e-09,1.259199523222602e-09,1.053268583461886e-11,1.219770619520661e-11,1.2197687304723599e-11,True,1.1580812706968964,0.15808127070009173,3.195332887173663e-12,2.759126260798439e-12,-28.0,304.4660194174757,1.8797566854001012e-12,2.7616962914896805e-07,7574,0.5337657421147707,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.41714285714285715,0.9269958186716973,0.9269957180742849,0.9269958199814584,1.0190717347757783e-07,1.0993272183643908e-07,1.0993272776239348e-07,1.2984022745854418e-09,1.4006560206991408e-09,1.4006560365803867e-09,1.1358802787242439e-11,1.2253348460102651e-11,1.2253309478258e-11,True,1.078753517392248,0.07875351739579113,3.5431657607887246e-12,3.284483796051063e-12,-28.0,268.4931506849315,1.4618082276378127e-12,3.1497736346814335e-07,7634,0.4707009540909365,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.4664285714285714,0.9617826817446832,0.9617825967903825,0.9617826830338847,8.624350222863342e-08,8.967046700423724e-08,8.967047080282564e-08,1.277313366188082e-09,1.3280685860042969e-09,1.3280685449083337e-09,1.1888157125383714e-11,1.2360543968018306e-11,1.236055702243811e-11,True,1.039735918498751,0.03973591850201932,3.2683855621939983e-12,3.1434854719236682e-12,-28.0,240.12251148545178,1.1692024954568078e-12,3.5416863178452346e-07,7706,0.4209637935514654,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.5157142857142857,0.9801636493992533,0.9801635804937939,0.9801636507959939,7.030219995041165e-08,7.172496143220593e-08,7.172496383837815e-08,1.3849512647823303e-09,1.4129796239956188e-09,1.4129796231933653e-09,1.1789347276192075e-11,1.2027937664713253e-11,1.2027934204256357e-11,True,1.0202377945896122,0.02023779459263321,3.0210278723075135e-12,2.961075828977755e-12,-28.0,217.17451523545708,9.564046985620928e-13,3.93735137401053e-07,7778,0.38073318170236414,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.5650000000000001,0.9897253951275421,0.989725340540794,0.9897253964843743,5.5943580323791764e-08,5.652434564092652e-08,5.652434715963558e-08,1.345084377213368e-09,1.3590480590225052e-09,1.3590480972067943e-09,1.1747824935071094e-11,1.186978225769098e-11,1.186972742324538e-11,True,1.0103812683023394,0.010381268305121396,2.7819968551057173e-12,2.7533531010703882e-12,-28.0,198.2300884955752,7.968253261410235e-13,4.336694678953168e-07,7850,0.34752131123780894,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.6142857142857143,0.9946731921910039,0.9946731495115688,0.9946731935268337,4.4015264877295124e-08,4.425098135030768e-08,4.425098234298361e-08,1.3240795126989724e-09,1.3311704015892625e-09,1.331170397020958e-09,1.175026742572527e-11,1.1813194039986657e-11,1.1813217071291291e-11,True,1.0053553346474158,0.005355334650038295,2.6225688287695448e-12,2.608580018659268e-12,-28.0,182.32558139534882,6.74092032024394e-13,4.739649219539752e-07,7934,0.31963878742919405,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.6635714285714286,0.9972324277464852,0.9972323947466504,0.997232429081661,3.433501061245181e-08,3.4430298952513e-08,3.4430299573754195e-08,1.3234264795158879e-09,1.32709932277927e-09,1.327099320206549e-09,1.1749268225003107e-11,1.1781875416500181e-11,1.1781908781996493e-11,True,1.0027752529666216,0.0027752529692514918,2.629896300732071e-12,2.6225688287695448e-12,-28.0,168.78363832077503,5.776764567213398e-13,5.146153810361064e-07,8006,0.2958981239925801,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.7128571428571429,0.9985584626550046,0.9985584373739331,0.9985584640298405,2.6655907370276566e-08,2.669438832795312e-08,2.6694388565260206e-08,1.362843504715272e-09,1.3648109306406485e-09,1.3648109318685648e-09,1.1992407067396016e-11,1.2009719526596526e-11,1.2009726546652285e-11,True,1.0014436183747946,0.0014436183774687833,2.6741941994146146e-12,2.6703084188284265e-12,-28.0,157.11422845691382,5.005586994482371e-13,5.556152117189885e-07,8090,0.27544023766443576,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.7621428571428571,0.9992472574941939,0.9992472382258768,0.9992472588614385,2.0635561703841176e-08,2.0651106669623337e-08,2.065110683339787e-08,1.354535483777397e-09,1.3555558682984604e-09,1.355555890678096e-09,1.2709167052094017e-11,1.2718740989056818e-11,1.2718714970186676e-11,True,1.0007533095539274,0.0007533095565882865,2.6608715231191127e-12,2.6588731216747874e-12,-28.0,146.95407685098405,4.37912414511903e-13,5.969591897398165e-07,8174,0.25762826353243384,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.8114285714285714,0.9996060013999211,0.9996060215074675,0.9996060027783817,1.8729085726754136e-08,1.8736467868864894e-08,1.8736467664150176e-08,1.3642057483664871e-09,1.3647434553773728e-09,1.3647434303085753e-09,1.4254930569279622e-11,1.4260549205703026e-11,1.4260592706806893e-11,True,1.0003941538961623,0.00039415389886651324,2.7042812433819563e-12,2.703171020357331e-12,-28.0,140.0,3.863308889645856e-13,6.113547440288375e-07,8354,0.2419800679481575,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.8607142857142857,0.9997933311166034,0.9997933255433613,0.9997933325726616,7.0293002529808746e-09,7.030753290912945e-09,7.030753288159758e-09,1.440006780484282e-09,1.4403044465960112e-09,1.4403044323144224e-09,1.6051382445425588e-11,1.6054700452441362e-11,1.605471311462834e-11,True,1.000206711604253,0.00020671160710974843,2.8567148646629903e-12,2.8561597531506777e-12,-28.0,140.0,3.4335391393759884e-13,5.433452259776787e-07,8858,0.22812394787477752,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.91,0.9998913878426222,0.9998913948039035,0.9998913893793633,5.4245402614228055e-09,5.425129496441468e-09,5.425129471497989e-09,1.520926939946321e-09,1.5210921490461994e-09,1.521092142289246e-09,1.5814127785063192e-11,1.5815845578172193e-11,1.58157931197252e-11,True,1.00010862395526,0.00010862395827345717,3.013589378042525e-12,3.0132563111351374e-12,-28.0,140.0,3.0716889836658407e-13,4.860837396093828e-07,9362,0.21576872620809018,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.9592857142857143,0.9999428233047176,0.999942821447786,0.9999428249227594,3.4749734201255933e-09,3.4751721189828942e-09,3.4751721440085906e-09,1.6025670790398294e-09,1.6026587137687482e-09,1.6026586737236185e-09,1.5474732606435282e-11,1.547561745109859e-11,1.547562078497473e-11,True,1.0000571799646438,5.717996781430963e-05,3.1704638914220595e-12,3.170352869119597e-12,-28.0,140.0,2.7641656823763485e-13,4.3741928265989594e-07,9866,0.20468306566575345,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.0085714285714287,0.9999698535825592,0.9999698536823223,0.9999698552825206,1.6001983071944892e-09,1.6002465488949604e-09,1.6002466006156659e-09,1.684343109431552e-09,1.6843938878728306e-09,1.6843938480423687e-09,1.5618284443519315e-11,1.5618755293036285e-11,1.5618728532851138e-11,True,1.0000301473262747,3.0147329603106596e-05,3.3284486278262193e-12,3.3283376055237568e-12,-28.0,140.0,2.500614255818409e-13,3.9571321681732386e-07,10370,0.19468084786763942,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.0578571428571428,0.9999840827769457,0.9999840853528803,0.9999840845594924,7.933879109245368e-10,7.934005396578978e-10,7.934005677817597e-10,1.76648773386745e-09,1.7665158518942936e-09,1.7665158240702622e-09,1.605893196199304e-11,1.6059187579663817e-11,1.6059154006726914e-11,True,1.0000159174764163,1.5917479911705916e-05,3.495426170729843e-12,3.4953151484273803e-12,-28.0,140.0,2.273034246917137e-13,3.596994985094741e-07,10874,0.18561063956050433,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.1071428571428572,0.9999915854563719,0.9999915861571926,0.9999915873219513,1.1647586228846762e-09,1.1647684238793957e-09,1.1647685031912525e-09,1.848949437999181e-09,1.8489649961958085e-09,1.8489649828308617e-09,1.6629919663557757e-11,1.6630059597919783e-11,1.6630030685998498e-11,True,1.0000084146144332,8.414618086429204e-06,3.653188862529078e-12,3.653188862529078e-12,-28.0,140.0,2.0751653148189045e-13,3.283874513008277e-07,11390,0.17734797238006897,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.1564285714285716,0.9999955471327715,0.9999955495251804,0.999995549081708,4.4347248095988334e-10,4.4347445569275375e-10,4.434744794596625e-10,1.9316729327201188e-09,1.9316815342415184e-09,1.931681483303105e-09,1.7263523943711334e-11,1.7263600816233654e-11,1.7263634966162812e-11,True,1.0000044528870566,4.452890873465461e-06,3.816835736358826e-12,3.816835736358826e-12,-28.0,140.0,1.9020520558837924e-13,3.009929003789689e-07,11894,0.1697895967814125,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.2057142857142857,0.9999976413888978,0.9999976421135314,0.9999976434214103,1.3078789162790372e-09,1.3078820010640453e-09,1.3078820240482285e-09,2.01456340498396e-09,2.0145681565667803e-09,2.0145681809722083e-09,1.7949086661417368e-11,1.7949128996432294e-11,1.7949086661578452e-11,True,1.0000023586166653,2.358620648989097e-06,3.983702256959987e-12,3.983702256959987e-12,-28.0,140.0,1.7497306990143762e-13,2.7688859321662764e-07,12398,0.16284914525421024,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.255,0.9999987494602709,0.9999987511695106,0.9999987515766326,4.071220027768163e-10,4.0712251189969203e-10,4.0712255780545423e-10,2.0977366510521733e-09,2.097739274358477e-09,2.0977393177876874e-09,1.8625101461111626e-11,1.862512475257009e-11,1.8625101461285072e-11,True,1.000001250541293,1.2505454390417199e-06,4.146127885462647e-12,4.146127885462647e-12,-28.0,140.0,1.6150001729329271e-13,2.555679717912605e-07,12902,0.15645381740985026,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.3042857142857143,0.9999993363148699,0.9999993378375073,0.9999993385154958,6.779885541874364e-10,6.779890041586569e-10,6.779889980468118e-10,2.1812982531344005e-09,2.181299700830576e-09,2.181299698803367e-09,1.9327650591094425e-11,1.9327663418577234e-11,1.9327650591281203e-11,True,1.0000006636855705,6.636898807795383e-07,4.310329870804708e-12,4.310218848502245e-12,-28.0,140.0,1.4952525432364984e-13,2.3661833985855963e-07,13406,0.15054181664244629,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.3535714285714286,0.9999996475041669,0.9999996492104437,0.9999996497897953,5.793515667207316e-10,5.793517709398168e-10,5.793516775752099e-10,2.265572396353832e-09,2.265573194958943e-09,2.2655731760763603e-09,2.0055956895248528e-11,2.0055963964892254e-11,2.005595689544965e-11,True,1.0000003524959573,3.525004209315621e-07,4.463651670505442e-12,4.463651670505442e-12,-28.0,140.0,1.3883458535800833e-13,2.1970074052679629e-07,13910,0.1450603468016395,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.4028571428571428,0.9999998127011576,0.9999998144914386,0.9999998150725602,5.811215952888915e-10,5.81121704132314e-10,5.811215951200404e-10,2.3506490087754628e-09,2.3506494490493835e-09,2.3506494556274493e-09,2.0753621043922976e-11,2.07536249310529e-11,2.0753621044138334e-11,True,1.0000001872988775,1.8730352101692957e-07,4.643507800494717e-12,4.643507800494717e-12,-28.0,140.0,1.2925076708793981e-13,2.0453469263189517e-07,14426,0.13996403115534975,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.4521428571428572,0.9999999004383134,0.9999999021229597,0.9999999028935983,7.706385529715476e-10,7.706386296976293e-10,7.70638663696908e-10,2.4338038251414673e-09,2.433804067455105e-09,2.4338040501477734e-09,2.148103916965738e-11,2.148104130834608e-11,2.1481039169888098e-11,True,1.0000000995616964,9.956649444636022e-08,4.798050845522539e-12,4.7979398232200765e-12,-28.0,140.0,1.2062611448368083e-13,1.9088648992321208e-07,14930,0.1352136533148583,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.5014285714285713,0.9999999470350355,0.9999999489123248,0.9999999495741864,6.618615655540339e-10,6.6186160060951e-10,6.618616763573059e-10,2.5169588635520768e-09,2.5169589968627207e-09,2.5169589777419206e-09,2.219202599462733e-11,2.219202717002726e-11,2.2192025994873574e-11,True,1.0000000529649673,5.296992962773109e-08,4.962363853167062e-12,4.9622528308646e-12,-28.0,140.0,1.1283677700935494e-13,1.7856014337988077e-07,15434,0.13077514614134486,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.5507142857142857,0.9999999717945919,0.9999999736569536,0.9999999744176042,7.606506535751123e-10,7.60650675029575e-10,7.606506532858176e-10,2.6001168995648527e-09,2.600116972902213e-09,2.6001170139674593e-09,2.2895463303029828e-11,2.2895463948805732e-11,2.2895463303291928e-11,True,1.000000028205409,2.8210545129936585e-08,5.136224778823362e-12,5.136224778823362e-12,-28.0,140.0,1.0577826741413007e-13,1.6739030568354951e-07,15938,0.12661877346343017,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
1.6,0.9999999849723424,0.9999999869618577,0.9999999876792499,7.173922567105251e-10,7.173922674912505e-10,7.173923674755017e-10,2.683286814963992e-09,2.683286855287508e-09,2.6832868185640062e-09,2.362066098271498e-11,2.3620661337678192e-11,2.3620660982993947e-11,True,1.0000000150276578,1.5032955051915644e-08,5.297318139696472e-12,5.297318139696472e-12,-28.0,140.0,9.936193935053447e-14,1.5723669717598823e-07,16442,0.1227184630308513,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
